id,race,sex,score,true_label,predicted_label,true-pred,predicted-race,predicted-sex
5481,0,0,-0.150817484,1,0,1,1,1
2407,0,0,-1.411411643,0,0,0,1,1
2837,1,0,-0.901162207,1,0,1,1,1
2888,0,0,-0.658250451,0,0,0,1,1
5477,2,0,-1.245701671,0,0,0,1,1
5753,0,1,-0.144074708,1,0,1,1,1
1780,2,0,-1.691618085,0,0,0,1,1
866,0,0,0.240454257,0,1,-1,1,1
5491,0,0,-1.329929948,1,0,1,1,1
946,2,0,-0.189574763,1,0,1,1,1
104,2,0,-2.181569338,0,0,0,1,1
4147,5,0,0.232738614,1,1,0,1,1
3544,0,1,-1.875041366,1,0,1,1,1
6003,0,1,-0.918563247,1,0,1,1,1
358,2,0,-2.204629898,0,0,0,1,1
2278,0,1,0.365279347,1,1,0,1,1
3112,0,0,-1.385694385,0,0,0,1,1
525,0,0,-1.457275987,0,0,0,1,1
5426,1,0,0.74167943,1,1,0,1,1
4255,2,0,-2.057635069,0,0,0,1,1
3949,0,0,-1.105750084,0,0,0,1,1
2782,0,1,0.058328617,1,1,0,1,1
2463,2,0,-1.703111529,1,0,1,1,1
3504,0,0,-0.626448572,0,0,0,1,1
1625,5,1,-2.367272377,0,0,0,1,1
4400,1,0,-0.278697431,1,0,1,1,1
1702,1,0,-1.682947993,0,0,0,1,1
6063,0,0,-0.789241791,0,0,0,1,1
3902,2,0,-1.393453717,0,0,0,1,1
5208,0,0,-0.812522709,0,0,0,1,1
3429,5,0,-1.605740905,0,0,0,1,1
1258,0,0,0.12139719,1,1,0,1,1
780,0,0,0.080426142,1,1,0,1,1
3769,1,0,-2.267042398,1,0,1,1,1
5843,2,1,-0.456605196,1,0,1,1,1
1205,2,1,-2.573172092,0,0,0,1,1
5941,1,1,-1.242934823,1,0,1,1,1
5645,0,0,1.314195752,1,1,0,2,1
4652,5,0,-1.037368178,1,0,1,1,1
108,2,0,-0.42435956,1,0,1,1,1
3286,2,0,-1.223996282,0,0,0,1,1
514,0,1,-2.672186613,0,0,0,1,1
1819,2,1,-1.795325875,0,0,0,1,1
1987,1,0,-0.477876484,0,0,0,1,1
399,0,0,-0.936572194,1,0,1,1,1
5719,0,0,-0.763962924,1,0,1,1,1
1667,2,1,-0.884082794,1,0,1,1,1
2136,1,1,-1.696378469,0,0,0,1,1
4961,2,1,-1.502533436,1,0,1,1,1
1790,2,1,-1.153663516,1,0,1,1,1
1967,5,1,-1.107820988,1,0,1,1,1
3232,2,0,-0.922147751,0,0,0,1,1
5210,0,0,-0.096172705,1,1,0,1,1
801,2,1,-2.589890718,0,0,0,1,1
2774,2,1,-0.390960157,1,0,1,1,1
146,0,0,-1.697634578,0,0,0,1,1
4672,1,0,-0.116735168,1,0,1,1,1
2070,0,0,-0.994876087,0,0,0,1,1
3732,2,1,-2.062935829,1,0,1,1,1
1969,2,0,-2.370154142,0,0,0,1,1
4928,0,0,-0.736924887,0,0,0,1,1
3805,0,0,-0.589767218,1,0,1,1,1
3102,5,0,-2.085565567,0,0,0,1,1
1624,2,0,0.019807616,1,1,0,1,1
2594,0,0,-1.821421981,0,0,0,1,1
3342,0,0,-0.733325839,0,0,0,1,1
4930,2,0,0.164227903,0,1,-1,1,1
5761,2,0,-1.919189692,0,0,0,1,1
4617,2,0,-1.401958585,0,0,0,1,1
2383,0,0,-1.370268464,1,0,1,1,1
5691,2,0,-1.61106813,0,0,0,1,1
1464,2,0,-2.675345182,0,0,0,1,1
5959,0,0,-0.566127241,0,0,0,1,1
3367,0,1,-2.000847578,0,0,0,1,1
439,0,0,0.030235497,0,1,-1,1,1
2729,0,0,0.329179883,0,1,-1,1,1
2339,0,0,-0.737960041,1,0,1,1,1
269,0,0,-0.979241133,1,0,1,1,1
1278,0,1,-2.519081831,0,0,0,1,1
4374,2,0,-1.420784354,0,0,0,1,1
739,2,0,-0.172275752,1,0,1,1,1
5835,0,1,-1.532279491,1,0,1,1,1
3834,2,1,-2.102284193,0,0,0,1,1
5820,2,0,-1.28486979,0,0,0,1,1
3206,0,1,-1.315856695,0,0,0,1,1
42,5,0,-2.300322294,1,0,1,1,1
3011,0,0,-0.257575989,1,0,1,1,1
3679,0,0,-1.236368299,0,0,0,1,1
3987,0,0,-1.123989463,0,0,0,1,1
767,2,0,-2.443938494,0,0,0,1,1
2288,0,0,0.181910723,1,1,0,1,1
5982,2,0,-1.592293382,1,0,1,1,1
2458,5,0,-1.472343087,0,0,0,1,1
5271,0,1,-0.474011302,1,0,1,1,1
4105,0,0,-0.574088991,0,0,0,1,1
2270,2,0,-1.534677029,1,0,1,1,1
5976,2,1,-1.777305961,1,0,1,1,1
