id,race,sex,score,true_label,predicted_label,true-pred,predicted-race,predicted-sex
5481,0,0,-0.076993495,1,0,1,1,1
2407,0,0,-1.400425911,0,0,0,1,1
2837,1,0,-0.85005039,1,0,1,1,1
2888,0,0,-0.654168189,0,0,0,1,1
5477,2,0,-1.397408009,0,0,0,1,1
5753,0,1,-0.150704905,1,0,1,1,1
1780,2,0,-1.737848282,0,0,0,1,1
866,0,0,0.206726864,0,1,-1,1,1
5491,0,0,-1.374050379,1,0,1,1,1
946,2,0,-0.164479047,1,0,1,1,1
104,2,0,-2.215252399,0,0,0,1,1
4147,5,0,0.225593776,1,1,0,1,1
3544,0,1,-1.830400944,1,0,1,1,1
6003,0,1,-0.889171958,1,0,1,1,1
358,2,0,-2.235872507,0,0,0,1,1
2278,0,1,0.450555325,1,1,0,1,1
3112,0,0,-1.365012884,0,0,0,1,1
525,0,0,-1.445724726,0,0,0,1,1
5426,1,0,0.261679232,1,1,0,1,1
4255,2,0,-2.100934744,0,0,0,1,1
3949,0,0,-1.099497676,0,0,0,1,1
2782,0,1,0.104220167,1,1,0,1,1
2463,2,0,-1.750621915,1,0,1,1,1
3504,0,0,-0.529065549,0,0,0,1,1
1625,5,1,-2.436825275,0,0,0,1,1
4400,1,0,-0.574751258,1,0,1,1,1
1702,1,0,-1.623139858,0,0,0,1,1
6063,0,0,-0.712034941,0,0,0,1,1
3902,2,0,-1.337046385,0,0,0,1,1
5208,0,0,-0.722017527,0,0,0,1,1
3429,5,0,-1.578727126,0,0,0,1,1
1258,0,0,0.13127996,1,1,0,1,1
780,0,0,0.033701107,1,1,0,1,1
3769,1,0,-2.277478695,1,0,1,1,1
5843,2,1,-0.453127265,1,0,1,1,1
1205,2,1,-2.622280121,0,0,0,1,1
5941,1,1,-1.376328707,1,0,1,1,1
5645,0,0,1.381304264,1,1,0,0,0
4652,5,0,-1.069319844,1,0,1,1,1
108,2,0,-0.460473299,1,0,1,1,1
3286,2,0,-1.270117044,0,0,0,1,1
514,0,1,-2.684490442,0,0,0,1,1
1819,2,1,-1.856005907,0,0,0,1,1
1987,1,0,-0.447376311,0,0,0,1,1
399,0,0,-0.910372198,1,0,1,1,1
5719,0,0,-0.770101309,1,0,1,1,1
1667,2,1,-0.902595162,1,0,1,1,1
2136,1,1,-1.868098617,0,0,0,1,1
4961,2,1,-1.590621591,1,0,1,1,1
1790,2,1,-1.129461884,1,0,1,1,1
1967,5,1,-1.081450701,1,0,1,1,1
3232,2,0,-1.012364507,0,0,0,1,1
5210,0,0,0.066047311,1,1,0,1,1
801,2,1,-2.633716106,0,0,0,1,1
2774,2,1,-0.357374191,1,0,1,1,1
146,0,0,-1.687359691,0,0,0,1,1
4672,1,0,-0.064703956,1,0,1,1,1
2070,0,0,-0.977209508,0,0,0,1,1
3732,2,1,-2.033952713,1,0,1,1,1
1969,2,0,-2.411980629,0,0,0,1,1
4928,0,0,-0.646354377,0,0,0,1,1
3805,0,0,-0.579837084,1,0,1,1,1
3102,5,0,-2.087340832,0,0,0,1,1
1624,2,0,0.05404859,1,1,0,1,1
2594,0,0,-1.859325051,0,0,0,1,1
3342,0,0,-0.669351399,0,0,0,1,1
4930,2,0,0.006270869,0,1,-1,1,1
5761,2,0,-2.107083321,0,0,0,1,1
4617,2,0,-1.450060368,0,0,0,1,1
2383,0,0,-1.333161592,1,0,1,1,1
5691,2,0,-1.769797564,0,0,0,1,1
1464,2,0,-2.735692501,0,0,0,1,1
5959,0,0,-0.509903789,0,0,0,1,1
3367,0,1,-1.968489051,0,0,0,1,1
439,0,0,0.085058823,0,1,-1,1,1
2729,0,0,0.350172251,0,1,-1,1,1
2339,0,0,-0.80553025,1,0,1,1,1
269,0,0,-0.900684059,1,0,1,1,1
1278,0,1,-2.528314829,0,0,0,1,1
4374,2,0,-1.402984381,0,0,0,1,1
739,2,0,-0.216754347,1,0,1,1,1
5835,0,1,-1.546896219,1,0,1,1,1
3834,2,1,-2.088202238,0,0,0,1,1
5820,2,0,-1.31427145,0,0,0,1,1
3206,0,1,-1.379449844,0,0,0,1,1
42,5,0,-2.350943565,1,0,1,1,1
3011,0,0,-0.176090315,1,0,1,1,1
3679,0,0,-1.224503279,0,0,0,1,1
3987,0,0,-1.073702455,0,0,0,1,1
767,2,0,-2.484493256,0,0,0,1,1
2288,0,0,0.251107156,1,1,0,1,1
5982,2,0,-1.605386972,1,0,1,1,1
2458,5,0,-1.531832695,0,0,0,1,1
5271,0,1,-0.328626215,1,0,1,1,1
4105,0,0,-0.641063154,0,0,0,1,1
2270,2,0,-1.587634683,1,0,1,1,1
5976,2,1,-1.774434209,1,0,1,1,1
4987,2,0,-0.170778856,1,0,1,1,1
5245,2,0,-1.311219454,0,0,0,1,1
3009,3,0,-0.330640376,1,0,1,1,1
4681,2,0,-0.048510298,0,0,0,1,1
5836,1,0,-1.656867743,1,0,1,1,1
1067,0,0,-1.705842376,1,0,1,1,1
2835,2,0,-1.149535775,1,0,1,1,1
5994,0,0,-0.097053126,1,0,1,1,1
5043,2,0,-0.088996574,1,0,1,1,1
254,1,0,-0.414071649,0,0,0,1,1
2446,0,0,0.311479688,1,1,0,1,1
3695,2,0,-2.155213356,0,0,0,1,1
6157,0,0,-1.192616463,1,0,1,1,1
3251,2,0,-0.479752481,1,0,1,1,1
4180,2,0,0.977575421,1,1,0,1,1
5253,5,0,-1.619851112,0,0,0,1,1
5194,0,0,0.018866306,1,1,0,1,1
2971,5,0,-2.536478043,1,0,1,1,1
1885,0,0,-1.2691679,0,0,0,1,1
1664,0,0,0.406181216,1,1,0,1,1
4903,2,1,0.064081207,1,1,0,1,1
4958,0,0,-0.907542765,0,0,0,1,1
898,0,1,-1.298745275,0,0,0,1,1
407,0,0,-1.521323442,1,0,1,1,1
3654,2,0,-2.335389376,0,0,0,1,1
1079,2,0,-0.682001472,0,0,0,1,1
3553,5,0,-1.700565815,1,0,1,1,1
4188,0,0,-1.399511933,0,0,0,1,1
5675,0,0,-1.058241487,0,0,0,1,1
5964,0,0,1.761112213,1,1,0,2,0
3771,2,0,-1.635283589,0,0,0,1,1
4361,2,0,-1.727757215,0,0,0,1,1
6014,0,0,-1.188764811,0,0,0,1,1
4551,0,0,-0.44498086,0,0,0,1,1
1785,0,0,-0.099337481,1,0,1,1,1
5159,1,1,-1.789566636,0,0,0,1,1
2105,1,0,-0.537199855,1,0,1,1,1
3767,2,0,-1.06443572,1,0,1,1,1
4752,0,0,-0.183497488,1,0,1,1,1
747,2,1,-0.871480882,1,0,1,1,1
2599,0,0,-0.532105982,0,0,0,1,1
5031,2,0,-1.432778835,0,0,0,1,1
93,2,0,-2.349987984,0,0,0,1,1
947,5,0,-0.932537198,0,0,0,1,1
1716,1,0,-0.33354938,1,0,1,1,1
4966,0,0,-0.923052013,0,0,0,1,1
5448,2,1,-2.164890051,0,0,0,1,1
3362,2,1,-0.832760274,1,0,1,1,1
4995,0,0,-0.375351906,1,0,1,1,1
4805,2,0,-1.766406298,0,0,0,1,1
5668,0,0,-1.439181328,0,0,0,1,1
5990,5,0,-1.304652929,0,0,0,1,1
691,2,1,-2.614022017,0,0,0,1,1
2387,0,0,-0.656604528,1,0,1,1,1
991,0,0,-0.911469519,1,0,1,1,1
4332,2,0,-1.107062936,0,0,0,1,1
993,0,0,-0.712705016,0,0,0,1,1
4925,0,0,-0.794726491,0,0,0,1,1
