id,sex,race,age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,c_charge_degree,days_b_screening_arrest,length_of_stay,sensitive,y_charge_mean,charge_id_0,charge_id_1,charge_id_2,charge_id_3,charge_id_4,BlackLatinoMale,African-American,Hispanic,Caucasian,Native American,Asian,Other,y
0,0,5,69,1,0,1,0,0,0,1,1,-1,1,-1,0,1,-1,0,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,34,0,0,3,0,0,0,1,3,-1,1,-1,0,1,-1,10,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
2,0,5,44,0,0,1,0,0,0,0,1,-1,1,-1,0,0,0,1,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
3,0,2,41,0,0,6,0,0,14,1,6,0,2,-1,14,1,-1,6,2,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
4,0,5,43,0,0,4,0,0,3,1,4,-1,3,-1,3,1,-1,0,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
5,1,2,39,0,0,1,0,0,0,1,1,-1,1,-1,0,0,-1,2,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
6,0,0,23,-1,0,6,0,0,3,0,6,0,4,-1,3,0,0,4,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
7,1,2,37,0,0,1,0,0,0,0,1,-1,1,-1,0,0,0,0,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,0
8,1,2,47,1,0,1,0,0,1,490,1,-1,1,-1,1,1,-20,14,3,0.43504204,0,0,0,0,1,0,0,0,1,0,0,0,1
9,0,3,37,0,0,1,0,0,0,0,1,-1,1,-1,0,0,0,0,4,0.43504204,0,0,0,0,1,1,0,1,0,0,0,0,0
10,0,0,25,0,0,10,0,0,3,1,10,1,9,1,3,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,0
11,0,0,64,1,0,6,0,0,13,1,6,0,3,-1,13,1,-1,1,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
12,0,0,21,-1,0,9,0,0,1,1,9,1,9,1,1,1,-1,3,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
13,0,5,32,0,0,3,0,0,0,1,3,-1,4,-1,0,0,-1,1,6,0.43504204,0,0,0,0,1,0,0,0,0,0,0,1,0
14,0,0,27,0,0,3,0,0,8,1,3,-1,3,-1,8,1,-1,17,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
15,0,0,33,0,0,10,0,0,0,1,10,1,6,0,0,1,0,37,0,0.43504204,0,0,0,0,1,1,1,0,0,0,0,0,1
