,id,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,BlackLatinoMale,African-American,Hispanic,Caucasian,Native American,Asian,Other,y
4938,7520,1,23,-1,2,0,6,0,0,0,6,0,5,0,0,0,0,0,1,0,0,0,0
4867,7417,1,51,1,2,0,5,0,0,0,5,0,1,-1,0,0,0,0,1,0,0,0,0
1977,3003,0,42,0,0,0,4,0,0,1,4,-1,2,-1,1,1,1,0,0,0,0,0,0
1996,3033,0,31,0,5,0,6,0,0,5,6,0,4,-1,5,0,0,0,0,0,0,1,0
3991,6087,1,55,1,2,0,4,0,0,6,4,-1,1,-1,6,0,0,0,1,0,0,0,0
665,1014,0,21,-1,0,0,5,0,0,0,5,0,7,0,0,1,1,0,0,0,0,0,0
1625,2486,1,33,0,2,0,6,0,0,7,6,0,2,-1,7,0,0,0,1,0,0,0,0
1905,2892,0,58,1,0,0,1,0,0,1,1,-1,1,-1,1,1,1,0,0,0,0,0,0
2478,3774,0,61,1,2,0,1,0,0,0,1,-1,1,-1,0,0,0,0,1,0,0,0,0
2237,3409,0,22,-1,0,0,6,0,0,0,6,0,8,1,0,1,1,0,0,0,0,0,0
6848,10436,1,21,-1,0,0,10,0,0,0,10,1,9,1,0,0,1,0,0,0,0,0,0
5642,8604,1,22,-1,0,0,6,0,0,0,6,0,7,0,0,0,1,0,0,0,0,0,0
506,771,0,35,0,2,0,2,0,0,1,2,-1,3,-1,1,0,0,0,1,0,0,0,0
6173,9412,1,36,0,0,0,1,0,0,1,1,-1,2,-1,1,0,1,0,0,0,0,0,0
873,1325,1,52,1,0,0,1,0,0,0,1,-1,1,-1,0,0,1,0,0,0,0,0,0
18,23,0,31,0,2,0,5,0,0,6,5,0,4,-1,6,0,0,0,1,0,0,0,1
4138,6317,0,36,0,2,0,6,0,0,9,6,0,4,-1,9,0,0,0,1,0,0,0,1
7100,10836,0,25,0,0,0,6,0,0,3,6,0,4,-1,3,1,1,0,0,0,0,0,1
4308,6573,0,25,0,5,0,2,0,0,0,2,-1,4,-1,0,0,0,0,0,0,0,1,1
1749,2656,0,58,1,2,0,1,0,0,1,1,-1,1,-1,1,0,0,0,1,0,0,0,0
4390,6695,0,32,0,0,0,4,1,0,5,4,-1,2,-1,5,1,1,0,0,0,0,0,0
6343,9677,0,33,0,0,0,1,0,0,0,1,-1,1,-1,0,1,1,0,0,0,0,0,0
367,546,0,36,0,1,0,3,0,0,1,3,-1,2,-1,1,1,0,1,0,0,0,0,0
6725,10258,0,54,1,2,0,3,0,0,3,3,-1,2,-1,3,0,0,0,1,0,0,0,1
3064,4677,0,42,0,5,0,3,0,0,6,3,-1,1,-1,6,0,0,0,0,0,0,1,0
2578,3939,0,26,0,0,1,10,0,0,3,10,1,9,1,3,1,1,0,0,0,0,0,1
7043,10733,0,28,0,0,0,2,0,0,2,2,-1,3,-1,2,1,1,0,0,0,0,0,1
39,55,0,29,0,2,0,2,0,0,0,2,-1,2,-1,0,0,0,0,1,0,0,0,0
3949,6022,0,58,1,2,0,3,0,0,5,3,-1,1,-1,5,0,0,0,1,0,0,0,1
3597,5495,0,60,1,0,0,3,0,0,13,3,-1,1,-1,13,1,1,0,0,0,0,0,0
6550,9987,1,23,-1,0,0,4,0,0,0,4,-1,5,0,0,0,1,0,0,0,0,0,1
6423,9799,0,26,0,2,0,5,0,0,0,5,0,3,-1,0,0,0,0,1,0,0,0,1
1059,1627,1,24,-1,0,0,3,0,0,1,3,-1,4,-1,1,0,1,0,0,0,0,0,0
3601,5501,0,33,0,0,0,5,0,0,3,5,0,2,-1,3,1,1,0,0,0,0,0,1
2907,4441,1,54,1,2,0,2,0,0,1,2,-1,1,-1,1,0,0,0,1,0,0,0,0
6977,10624,0,28,0,0,0,3,0,0,0,3,-1,3,-1,0,1,1,0,0,0,0,0,1
6733,10271,0,33,0,1,0,3,0,0,2,3,-1,4,-1,2,1,0,1,0,0,0,0,0
5256,8019,1,49,1,2,0,2,0,0,0,2,-1,2,-1,0,0,0,0,1,0,0,0,0
5118,7793,0,21,-1,1,0,9,0,2,0,9,1,10,1,0,1,0,1,0,0,0,0,1
