id,race,sex,score,true_label,predicted_label,true-pred,predicted-race,predicted-sex
5627,0,0,-0.360791862,1,0,1,1,1
9220,2,0,-1.499198794,0,0,0,1,1
2655,0,0,-0.833693266,0,0,0,1,1
9081,5,0,-0.760186791,0,0,0,1,1
644,0,0,-0.020157861,1,1,0,1,1
93,0,0,-0.7067644,1,0,1,1,1
9224,2,0,-1.640648603,0,0,0,1,1
5754,0,0,-0.235703126,1,0,1,1,1
3290,0,0,-1.006275177,0,0,0,1,1
6760,0,0,-0.697528243,0,0,0,1,1
10194,0,0,0.317283183,1,1,0,1,1
3785,2,0,-0.992005944,0,0,0,1,1
2817,2,0,-0.076491468,0,1,-1,1,1
379,1,1,-1.727728486,0,0,0,1,1
569,0,1,-1.50442791,0,0,0,1,1
8196,2,0,-0.434418142,1,0,1,1,1
10680,0,0,-0.251833916,1,0,1,1,1
8452,2,0,-1.08734107,0,0,0,1,1
9552,1,0,-0.877496421,1,0,1,1,1
849,0,0,-1.071982145,1,0,1,1,1
5654,0,0,-1.176152945,0,0,0,1,1
2539,0,1,-0.799935579,1,0,1,1,1
10379,0,0,-0.034606688,1,1,0,1,1
6304,0,0,0.367787957,1,1,0,1,1
9125,2,0,-1.686503768,1,0,1,1,1
6525,2,0,-1.93548286,1,0,1,1,1
7472,2,0,-2.312366962,0,0,0,1,1
3218,5,0,-1.025734782,0,0,0,1,1
5137,0,1,-2.14015317,1,0,1,1,1
4409,2,0,0.546378493,1,1,0,1,1
6149,0,0,-0.554425001,1,0,1,1,1
6129,0,0,-1.186437726,0,0,0,1,1
6236,4,0,-2.075507641,0,0,0,1,1
8774,2,0,-1.054533362,0,0,0,1,1
7508,1,0,-1.665453911,0,0,0,1,1
3250,2,0,-1.83585012,0,0,0,1,1
5691,2,0,-1.114450216,0,0,0,1,1
3287,0,0,-0.176617846,1,0,1,1,1
654,2,0,-1.579205394,0,0,0,1,1
853,0,0,-1.235299587,0,0,0,1,1
3502,1,0,-1.548200965,1,0,1,1,1
691,0,0,-0.733651936,1,0,1,1,1
4205,2,1,-1.233232737,1,0,1,1,1
5960,2,0,-2.062164307,0,0,0,1,1
10168,2,0,-1.85912168,0,0,0,1,1
5219,2,1,-0.527063668,1,0,1,1,1
2467,0,0,-0.589919686,0,0,0,1,1
6160,0,0,-0.295435876,1,0,1,1,1
3671,2,0,-1.642026424,0,0,0,1,1
1849,0,0,-0.539429069,1,0,1,1,1
6968,0,0,-0.221452042,1,0,1,1,1
6593,0,0,-1.581293106,0,0,0,1,1
4081,2,0,-1.138965607,0,0,0,1,1
6591,0,1,-2.48812151,0,0,0,1,1
668,1,0,-1.206468821,1,0,1,1,1
1864,0,0,-1.294862032,0,0,0,1,1
7189,2,0,-1.018754244,1,0,1,1,1
7192,5,1,-2.374406576,0,0,0,1,1
2835,2,0,0.085565001,1,1,0,1,1
7661,2,1,1.020097136,1,1,0,1,1
7595,1,1,-2.237811089,0,0,0,1,1
7218,0,0,-0.964440286,0,0,0,1,1
9527,0,0,-1.029777527,0,0,0,1,1
2400,0,0,-0.032776542,0,1,-1,1,1
4500,0,0,-0.357673347,0,0,0,1,1
2383,5,0,-1.72774446,0,0,0,1,1
2927,0,0,-0.534850478,1,0,1,1,1
10237,2,0,-0.422550082,1,0,1,1,1
5617,2,0,-2.022021294,0,0,0,1,1
6259,2,0,-1.851191282,0,0,0,1,1
6285,2,1,-1.311154485,1,0,1,1,1
9626,0,0,-0.232247725,1,0,1,1,1
41,2,0,0.416760325,1,1,0,1,1
7060,0,1,-0.341085166,0,0,0,1,1
2290,0,0,-1.220951557,1,0,1,1,1
2582,2,0,-1.104394436,0,0,0,1,1
8237,1,0,-1.612529755,0,0,0,1,1
8681,0,0,0.720746875,1,1,0,1,1
6081,2,1,-0.741975307,0,0,0,1,1
9087,2,0,-1.945503235,1,0,1,1,1
7765,1,0,-0.752826631,1,0,1,1,1
5797,1,0,-1.036145329,0,0,0,1,1
8231,0,0,-0.855559349,0,0,0,1,1
9972,0,0,-0.71028769,0,0,0,1,1
2062,0,0,-1.32508719,0,0,0,1,1
1770,0,0,-0.820513189,1,0,1,1,1
5153,0,0,0.977719665,1,1,0,1,1
10499,2,1,0.107772231,1,1,0,1,1
9247,0,0,-0.815701663,1,0,1,1,1
4809,2,1,-0.175990358,1,0,1,1,1
3673,5,0,-1.830305576,0,0,0,1,1
3917,0,0,-0.792219758,0,0,0,1,1
8503,0,0,-1.055297852,0,0,0,1,1
2502,1,0,-1.879832625,0,0,0,1,1
6019,2,0,-0.947343111,1,0,1,1,1
2183,0,0,-1.481478572,0,0,0,1,1
5576,3,0,0.303038508,1,1,0,1,1
8207,2,0,-1.146304965,1,0,1,1,1
6391,0,0,-0.078301802,1,1,0,1,1
3693,0,0,-0.912620425,0,0,0,1,1
3611,2,0,-0.340452105,0,0,0,1,1
1819,5,0,-0.031839274,0,1,-1,1,1
1153,2,1,-0.398728013,1,0,1,1,1
1538,2,0,-0.948632002,0,0,0,1,1
5789,1,1,-2.211224556,0,0,0,1,1
4317,0,0,-0.812391281,0,0,0,1,1
9248,0,0,0.18639414,0,1,-1,1,1
864,1,0,-0.342409074,0,0,0,1,1
2758,0,0,-1.208822489,0,0,0,1,1
8819,5,1,-1.330972791,0,0,0,1,1
5971,2,0,-1.484376669,0,0,0,1,1
9733,0,0,-0.510655105,1,0,1,1,1
1634,2,0,-1.519883156,0,0,0,1,1
3722,0,0,-0.311137497,1,0,1,1,1
8991,0,0,0.818844259,1,1,0,1,1
6377,2,0,-0.390044272,1,0,1,1,1
7125,0,1,-0.516516626,0,0,0,1,1
5150,0,0,-1.302259326,0,0,0,1,1
4937,5,0,-1.541336775,0,0,0,1,1
5045,2,1,0.110541485,0,1,-1,1,1
7820,0,0,-0.901445329,1,0,1,1,1
3420,0,0,-1.288648963,0,0,0,1,1
10328,0,0,-0.810730219,0,0,0,1,1
7449,0,0,0.370275319,1,1,0,1,1
9690,0,1,-1.488688827,0,0,0,1,1
10719,0,0,-0.789943814,0,0,0,1,1
5160,0,0,-0.124946222,0,0,0,1,1
3492,0,0,-0.155698702,0,0,0,1,1
9463,1,0,-1.383132219,0,0,0,1,1
4404,0,1,-0.811988115,1,0,1,1,1
8224,1,0,-1.410258532,0,0,0,1,1
7485,1,0,-1.604855299,1,0,1,1,1
9578,0,0,-0.312573552,0,0,0,1,1
5168,0,0,1.261591434,1,1,0,2,1
1700,0,0,-1.116575241,1,0,1,1,1
1613,0,0,-1.089954019,0,0,0,1,1
4342,0,0,-0.044636652,1,1,0,1,1
8771,1,0,-1.712107182,0,0,0,1,1
3455,0,1,-1.737640619,0,0,0,1,1
8971,0,0,-0.758809507,0,0,0,1,1
8504,2,0,-0.318423688,1,0,1,1,1
6336,0,0,-0.329218984,1,0,1,1,1
3234,2,0,-1.044808865,0,0,0,1,1
5140,0,0,-1.243040323,1,0,1,1,1
4023,2,1,-1.62994957,0,0,0,1,1
2038,5,0,-0.953132927,0,0,0,1,1
3260,0,0,-0.016103679,1,1,0,1,1
4238,0,0,-0.751363516,1,0,1,1,1
3431,0,1,-2.107172966,0,0,0,1,1
10871,2,1,-1.584672213,0,0,0,1,1
1292,2,0,-1.629466057,0,0,0,1,1
1488,0,0,-0.972705603,1,0,1,1,1
6203,0,0,-0.973822296,0,0,0,1,1
6227,0,1,-0.609707236,1,0,1,1,1
7969,1,0,-0.71813786,0,0,0,1,1
5015,2,0,-1.341721892,1,0,1,1,1
2678,0,0,-0.830604553,0,0,0,1,1
9548,2,1,-1.438204288,0,0,0,1,1
1797,0,1,-0.738399267,1,0,1,1,1
8343,1,0,-0.514726162,1,0,1,1,1
7026,0,0,-0.580859542,0,0,0,1,1
2099,0,1,-2.157647133,0,0,0,1,1
9359,2,0,-1.356554747,0,0,0,1,1
8586,0,0,-1.34311676,0,0,0,1,1
4416,2,0,-1.637433529,0,0,0,1,1
2405,0,1,-1.567722559,0,0,0,1,1
10456,0,0,-0.289625794,1,0,1,1,1
8471,0,0,-0.443438321,1,0,1,1,1
7250,0,0,-0.695605159,0,0,0,1,1
5010,0,0,0.799151003,1,1,0,1,1
2281,1,0,-1.555605173,1,0,1,1,1
1624,0,0,0.075878382,1,1,0,1,1
869,2,0,-0.481105924,0,0,0,1,1
8897,0,0,-1.202288985,0,0,0,1,1
10389,2,0,-0.121066593,0,0,0,1,1
10169,2,0,-0.499925017,1,0,1,1,1
8307,0,1,-1.088881493,0,0,0,1,1
5701,1,0,-0.601930439,1,0,1,1,1
4026,1,1,-1.226425529,1,0,1,1,1
2867,2,0,-1.332355857,0,0,0,1,1
2961,0,0,-1.118438601,1,0,1,1,1
10839,0,0,0.744050026,1,1,0,1,1
3855,2,0,-1.868629813,0,0,0,1,1
6852,5,0,-1.385185719,1,0,1,1,1
5358,0,0,-1.052215099,1,0,1,1,1
7304,2,0,-1.340368748,0,0,0,1,1
9831,1,0,-1.289288998,1,0,1,1,1
10795,0,0,-0.748989522,1,0,1,1,1
5179,0,0,0.92160362,1,1,0,1,1
2245,2,1,-0.747395873,0,0,0,1,1
8746,2,0,-0.867635787,0,0,0,1,1
6075,0,0,0.178491667,1,1,0,1,1
10838,0,1,-0.547443688,1,0,1,1,1
4371,2,0,-2.067481756,0,0,0,1,1
6402,0,1,-1.557313085,0,0,0,1,1
5342,2,0,-0.883292198,0,0,0,1,1
5765,0,0,0.087296389,0,1,-1,1,1
3958,2,0,-1.791256309,0,0,0,1,1
5270,0,0,-0.998912692,0,0,0,1,1
9844,2,0,-1.808163881,1,0,1,1,1
2639,0,0,-1.266927004,0,0,0,1,1
8676,0,0,-1.066273093,0,0,0,1,1
10556,0,1,-1.030486822,0,0,0,1,1
8633,2,0,-0.893588901,1,0,1,1,1
3990,0,0,-0.46384865,1,0,1,1,1
7989,0,0,0.063812375,1,1,0,1,1
152,0,0,-0.943139434,0,0,0,1,1
8289,2,0,-0.578821123,0,0,0,1,1
4022,2,1,-0.697306752,0,0,0,1,1
5455,2,1,-1.177190304,0,0,0,1,1
9233,0,1,-1.293070912,0,0,0,1,1
6686,2,0,-1.393555164,1,0,1,1,1
8065,0,0,-0.876980603,1,0,1,1,1
5062,2,1,-0.293155134,1,0,1,1,1
7974,0,0,-1.270634651,1,0,1,1,1
1314,0,0,1.128247857,1,1,0,0,1
4582,0,1,-0.517475605,0,0,0,1,1
5762,2,1,-1.607615829,1,0,1,1,1
5826,2,0,-1.934079409,0,0,0,1,1
7362,0,1,0.397386312,1,1,0,1,1
2027,0,0,-0.758778632,1,0,1,1,1
442,2,0,-1.177422285,1,0,1,1,1
7482,0,0,-0.779069662,1,0,1,1,1
1145,0,0,-0.582702816,1,0,1,1,1
2740,0,0,-0.635382175,1,0,1,1,1
4029,1,0,-1.451870441,1,0,1,1,1
537,0,0,-1.036843538,0,0,0,1,1
3333,2,0,-1.467475891,1,0,1,1,1
5272,2,0,-1.755792856,0,0,0,1,1
7328,0,0,-0.473686099,1,0,1,1,1
4590,1,0,-1.2967031,1,0,1,1,1
9221,2,0,-0.398882449,1,0,1,1,1
6368,0,0,0.85988003,1,1,0,1,1
2098,2,1,-1.865576744,0,0,0,1,1
1375,1,0,-1.411610365,0,0,0,1,1
7469,0,0,-0.699998975,1,0,1,1,1
10498,2,1,-2.019814491,0,0,0,1,1
10932,0,0,-0.805531323,0,0,0,1,1
3229,2,0,-0.683511317,0,0,0,1,1
598,0,0,-0.215090379,0,0,0,1,1
68,2,0,-1.883083344,0,0,0,1,1
9259,2,0,-0.133751243,1,0,1,1,1
8663,5,0,-0.803521812,1,0,1,1,1
5880,0,0,-1.12878859,0,0,0,1,1
3347,0,1,-1.365079522,1,0,1,1,1
4826,1,0,-0.719737768,1,0,1,1,1
7581,0,0,-1.194901705,1,0,1,1,1
5183,0,0,-0.578620911,0,0,0,1,1
7259,2,0,-0.46666497,0,0,0,1,1
6862,0,0,-0.664851308,0,0,0,1,1
997,0,1,-1.307082534,1,0,1,1,1
7796,0,0,-0.584664941,1,0,1,1,1
633,2,1,-1.829317451,0,0,0,1,1
4940,0,0,0.160793021,1,1,0,1,1
6274,1,0,1.017943025,1,1,0,1,1
9494,2,0,-0.450467944,0,0,0,1,1
3208,0,1,-2.145507813,0,0,0,1,1
10805,2,0,0.245636627,0,1,-1,1,1
9648,2,0,-1.048645258,0,0,0,1,1
5321,2,1,-0.752346218,1,0,1,1,1
1884,5,0,-0.937696755,0,0,0,1,1
6199,2,0,0.290926516,1,1,0,1,1
6006,0,1,-1.043587804,0,0,0,1,1
1710,2,0,-1.489033222,0,0,0,1,1
7517,0,1,-2.222353697,0,0,0,1,1
3862,2,0,-1.61333704,0,0,0,1,1
9306,0,0,-0.486548007,1,0,1,1,1
511,5,0,-1.49857676,0,0,0,1,1
8299,0,0,-0.784881771,0,0,0,1,1
6001,0,0,0.507362664,1,1,0,1,1
8856,5,0,-0.780991435,0,0,0,1,1
5163,1,0,-0.427315354,1,0,1,1,1
10073,0,0,-1.024949551,0,0,0,1,1
10427,2,0,-1.710857868,0,0,0,1,1
7210,0,0,-0.672451496,0,0,0,1,1
1367,0,0,-1.317892671,1,0,1,1,1
264,1,0,-0.804142952,1,0,1,1,1
6378,0,0,0.245661333,1,1,0,1,1
7370,0,0,-0.63348943,0,0,0,1,1
3316,2,1,-0.164977446,1,0,1,1,1
4387,0,0,-0.064689904,1,1,0,1,1
9473,0,0,0.11915502,0,1,-1,1,1
7214,0,1,-0.871188998,1,0,1,1,1
4761,1,0,-1.284607887,1,0,1,1,1
6159,0,0,0.950957298,0,1,-1,1,1
1130,2,0,0.825237632,1,1,0,1,1
6763,2,1,-1.466854811,0,0,0,1,1
762,2,0,-1.107603312,1,0,1,1,1
4512,0,0,-0.249096289,1,0,1,1,1
5914,0,0,-0.928298771,0,0,0,1,1
10111,0,0,-1.032080293,0,0,0,1,1
2667,2,0,-0.784118474,0,0,0,1,1
2496,5,0,0.106763773,0,1,-1,1,1
10055,0,0,-0.110660568,0,0,0,1,1
6838,2,1,-0.859498143,1,0,1,1,1
6864,0,0,-0.041048124,1,1,0,1,1
