id,race,sex,score,true_label,predicted_label,true-pred,predicted-race,predicted-sex
5627,0,0,0.618478954,1,1,0,0,0
9220,2,0,-1.013637185,0,0,0,0,0
2655,0,0,-0.337082833,0,0,0,0,0
9081,5,0,-0.011594256,0,0,0,0,0
644,0,0,1.08027792,1,1,0,0,0
93,0,0,-0.226724774,1,0,1,0,0
9224,2,0,-1.190182686,0,0,0,0,0
5754,0,0,0.616602242,1,1,0,0,0
3290,0,0,-0.631207108,0,0,0,0,0
6760,0,0,-0.032165863,0,0,0,0,0
10194,0,0,1.070503712,1,1,0,0,0
3785,2,0,-0.322276205,0,0,0,0,0
2817,2,0,0.852143228,0,1,-1,0,0
379,1,1,-1.326941013,0,0,0,0,0
569,0,1,-0.994160593,0,0,0,0,0
8196,2,0,0.29475072,1,1,0,0,0
10680,0,0,0.402699709,1,1,0,0,0
8452,2,0,-0.540056586,0,0,0,0,0
9552,1,0,-0.180197939,1,0,1,0,0
849,0,0,-0.800613284,1,0,1,0,0
5654,0,0,-0.683837175,0,0,0,0,0
2539,0,1,0.018360436,1,1,0,0,0
10379,0,0,0.882089674,1,1,0,0,0
6304,0,0,1.390683651,1,1,0,3,0
9125,2,0,-1.356661201,1,0,1,0,0
6525,2,0,-1.558029413,1,0,1,0,0
7472,2,0,-1.995920658,0,0,0,0,0
3218,5,0,-0.579881668,0,0,0,0,0
5137,0,1,-1.512142301,1,0,1,0,0
4409,2,0,1.330041051,1,1,0,3,0
6149,0,0,0.05006757,1,1,0,0,0
6129,0,0,-0.834826648,0,0,0,0,0
6236,4,0,-1.509815931,0,0,0,0,0
8774,2,0,-0.596742809,0,0,0,0,0
7508,1,0,-1.375802994,0,0,0,0,0
3250,2,0,-1.506086111,0,0,0,0,0
5691,2,0,-0.554283142,0,0,0,0,0
3287,0,0,0.818426609,1,1,0,0,0
654,2,0,-1.104724169,0,0,0,0,0
853,0,0,-0.89960295,0,0,0,0,0
3502,1,0,-1.27205658,1,0,1,0,0
691,0,0,-0.120190486,1,0,1,0,0
4205,2,1,-0.982299209,1,0,1,0,0
5960,2,0,-1.703041792,0,0,0,0,0
10168,2,0,-1.456610322,0,0,0,0,0
5219,2,1,0.154668808,1,1,0,0,0
2467,0,0,0.085232913,0,1,-1,0,0
6160,0,0,0.616416156,1,1,0,0,0
3671,2,0,-1.162761807,0,0,0,0,0
1849,0,0,0.334947914,1,1,0,0,0
6968,0,0,0.695093453,1,1,0,0,0
6593,0,0,-1.27396822,0,0,0,0,0
4081,2,0,-0.624373436,0,0,0,0,0
6591,0,1,-2.047731638,0,0,0,0,0
668,1,0,-0.444580168,1,0,1,0,0
1864,0,0,-1.060103774,0,0,0,0,0
7189,2,0,-0.25471279,1,0,1,0,0
7192,5,1,-1.996991396,0,0,0,0,0
2835,2,0,1.061234593,1,1,0,0,0
7661,2,1,1.820237637,1,1,0,3,0
7595,1,1,-1.857160091,0,0,0,0,0
7218,0,0,-0.548882306,0,0,0,0,0
9527,0,0,-0.682160378,0,0,0,0,0
2400,0,0,1.008622527,0,1,-1,0,0
4500,0,0,0.615839005,0,1,-1,0,0
2383,5,0,-1.162265897,0,0,0,0,0
2927,0,0,0.318031222,1,1,0,0,0
10237,2,0,0.578266442,1,1,0,0,0
5617,2,0,-1.67583859,0,0,0,0,0
6259,2,0,-1.45680666,0,0,0,0,0
6285,2,1,-1.044368744,1,0,1,0,0
9626,0,0,0.752847016,1,1,0,0,0
41,2,0,1.334801197,1,1,0,3,0
7060,0,1,0.647695482,0,1,-1,0,0
2290,0,0,-0.938064039,1,0,1,0,0
2582,2,0,-0.661589324,0,0,0,0,0
8237,1,0,-1.223117113,0,0,0,0,0
8681,0,0,1.584146857,1,1,0,3,0
6081,2,1,-0.190974727,0,0,0,0,0
9087,2,0,-1.56833744,1,0,1,0,0
7765,1,0,0.105277896,1,1,0,0,0
5797,1,0,-0.29780075,0,0,0,0,0
8231,0,0,-0.360035509,0,0,0,0,0
9972,0,0,-0.418005139,0,0,0,0,0
2062,0,0,-1.007856488,0,0,0,0,0
1770,0,0,-0.524342656,1,0,1,0,0
5153,0,0,1.752660871,1,1,0,3,0
10499,2,1,0.875447869,1,1,0,0,0
9247,0,0,-0.33311528,1,0,1,0,0
4809,2,1,0.616185904,1,1,0,0,0
3673,5,0,-1.247389674,0,0,0,0,0
3917,0,0,-0.278059036,0,0,0,0,0
8503,0,0,-0.675109804,0,0,0,0,0
2502,1,0,-1.549576044,0,0,0,0,0
6019,2,0,-0.284854025,1,0,1,0,0
2183,0,0,-1.290061712,0,0,0,0,0
5576,3,0,1.133657336,1,1,0,0,0
8207,2,0,-0.603915155,1,0,1,0,0
6391,0,0,0.711983383,1,1,0,0,0
3693,0,0,-0.64241147,0,0,0,0,0
3611,2,0,0.533096731,0,1,-1,0,0
1819,5,0,0.716463268,0,1,-1,0,0
1153,2,1,0.516521633,1,1,0,0,0
1538,2,0,-0.441972941,0,0,0,0,0
5789,1,1,-1.86516428,0,0,0,0,0
4317,0,0,-0.074698508,0,0,0,0,0
9248,0,0,1.071774721,0,1,-1,0,0
864,1,0,0.809622943,0,1,-1,0,0
2758,0,0,-0.862385452,0,0,0,0,0
8819,5,1,-0.851164937,0,0,0,0,0
5971,2,0,-1.124583483,0,0,0,0,0
9733,0,0,-0.057610486,1,0,1,0,0
1634,2,0,-1.067512035,0,0,0,0,0
3722,0,0,0.335336268,1,1,0,0,0
8991,0,0,1.56871748,1,1,0,3,0
6377,2,0,0.591983736,1,1,0,0,0
7125,0,1,0.357103288,0,1,-1,0,0
5150,0,0,-1.026079655,0,0,0,0,0
4937,5,0,-1.176243067,0,0,0,0,0
5045,2,1,0.745136797,0,1,-1,0,0
7820,0,0,-0.446001798,1,0,1,0,0
3420,0,0,-1.045585036,0,0,0,0,0
10328,0,0,-0.389052719,0,0,0,0,0
7449,0,0,1.310795426,1,1,0,3,0
9690,0,1,-1.084330559,0,0,0,0,0
10719,0,0,-0.422307283,0,0,0,0,0
5160,0,0,0.794022322,0,1,-1,0,0
3492,0,0,0.563691318,0,1,-1,0,0
9463,1,0,-1.04366827,0,0,0,0,0
4404,0,1,-0.066276297,1,0,1,0,0
8224,1,0,-1.071745872,0,0,0,0,0
7485,1,0,-1.300711036,1,0,1,0,0
9578,0,0,0.429181069,0,1,-1,0,0
5168,0,0,1.765521526,1,1,0,3,0
1700,0,0,-0.772424161,1,0,1,0,0
1613,0,0,-0.81116432,0,0,0,0,0
4342,0,0,0.94720608,1,1,0,0,0
8771,1,0,-1.346171618,0,0,0,0,0
3455,0,1,-1.222102404,0,0,0,0,0
8971,0,0,-0.267172754,0,0,0,0,0
8504,2,0,0.804117441,1,1,0,0,0
6336,0,0,0.808344066,1,1,0,0,0
3234,2,0,-0.375295907,0,0,0,0,0
5140,0,0,-0.906449974,1,0,1,0,0
4023,2,1,-1.297587156,0,0,0,0,0
2038,5,0,-0.46373722,0,0,0,0,0
3260,0,0,1.105996609,1,1,0,0,0
4238,0,0,-0.084920138,1,0,1,0,0
3431,0,1,-1.527831197,0,0,0,0,0
10871,2,1,-1.311083794,0,0,0,0,0
1292,2,0,-1.358127832,0,0,0,0,0
1488,0,0,-0.605354011,1,0,1,0,0
6203,0,0,-0.513073266,0,0,0,0,0
6227,0,1,-0.025007088,1,0,1,0,0
7969,1,0,-0.19652836,0,0,0,0,0
5015,2,0,-0.839925706,1,0,1,0,0
2678,0,0,-0.348017067,0,0,0,0,0
9548,2,1,-1.069137573,0,0,0,0,0
1797,0,1,0.143444806,1,1,0,0,0
8343,1,0,0.722456694,1,1,0,0,0
7026,0,0,0.041210022,0,1,-1,0,0
2099,0,1,-1.608112574,0,0,0,0,0
9359,2,0,-0.822915137,0,0,0,0,0
8586,0,0,-1.000437737,0,0,0,0,0
4416,2,0,-1.357517481,0,0,0,0,0
2405,0,1,-1.044043303,0,0,0,0,0
10456,0,0,0.507774532,1,1,0,0,0
8471,0,0,0.118637174,1,1,0,0,0
7250,0,0,-0.123118654,0,0,0,0,0
5010,0,0,1.666914701,1,1,0,3,0
2281,1,0,-1.242069244,1,0,1,0,0
1624,0,0,1.063712835,1,1,0,0,0
869,2,0,0.397712052,0,1,-1,0,0
8897,0,0,-0.899884582,0,0,0,0,0
10389,2,0,1.068018079,0,1,-1,0,0
10169,2,0,0.193479076,1,1,0,0,0
8307,0,1,-0.637155473,0,0,0,0,0
5701,1,0,-0.064923719,1,0,1,0,0
4026,1,1,-0.833073676,1,0,1,0,0
2867,2,0,-0.810121,0,0,0,0,0
2961,0,0,-0.503044963,1,0,1,0,0
10839,0,0,1.460472584,1,1,0,3,0
3855,2,0,-1.555636406,0,0,0,0,0
6852,5,0,-0.836288512,1,0,1,0,0
5358,0,0,-0.630781174,1,0,1,0,0
7304,2,0,-0.837076247,0,0,0,0,0
9831,1,0,-0.894536436,1,0,1,0,0
10795,0,0,-0.263427347,1,0,1,0,0
5179,0,0,1.858729959,1,1,0,3,0
2245,2,1,-0.160804227,0,0,0,0,0
8746,2,0,-0.382588178,0,0,0,0,0
6075,0,0,1.238540173,1,1,0,0,0
10838,0,1,0.018698087,1,1,0,0,0
4371,2,0,-1.738286853,0,0,0,0,0
6402,0,1,-1.055371761,0,0,0,0,0
5342,2,0,-0.298671454,0,0,0,0,0
5765,0,0,1.044860482,0,1,-1,0,0
3958,2,0,-1.325856447,0,0,0,0,0
5270,0,0,-0.588726223,0,0,0,0,0
9844,2,0,-1.409119964,1,0,1,0,0
