id,sex,race,age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,c_charge_degree,days_b_screening_arrest,length_of_stay,y,sensitive,y_charge_mean,charge_id_0,charge_id_1,charge_id_2,charge_id_3,charge_id_4
0,0,5,69,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,0,0,6,0.4350420395985896,0,0,0,0,1
1,0,0,34,0,0,3,0,0,0,1.0,3,-1,1,-1,0,1,-1.0,10,1,0,0.4350420395985896,0,0,0,0,1
2,0,5,44,0,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,1,0,6,0.4350420395985896,0,0,0,0,1
3,0,2,41,0,0,6,0,0,14,1.0,6,0,2,-1,14,1,-1.0,6,1,2,0.4350420395985896,0,0,0,0,1
4,0,5,43,0,0,4,0,0,3,1.0,4,-1,3,-1,3,1,-1.0,0,0,6,0.4350420395985896,0,0,0,0,1
5,1,2,39,0,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,2,0,3,0.4350420395985896,0,0,0,0,1
6,0,0,23,-1,0,6,0,0,3,0.0,6,0,4,-1,3,0,0.0,4,1,0,0.4350420395985896,0,0,0,0,1
7,1,2,37,0,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,0,0,3,0.4350420395985896,0,0,0,0,1
8,1,2,47,1,0,1,0,0,1,490.0,1,-1,1,-1,1,1,-20.0,14,1,3,0.4350420395985896,0,0,0,0,1
9,0,3,37,0,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,0,0,4,0.4350420395985896,0,0,0,0,1
10,0,0,25,0,0,10,0,0,3,1.0,10,1,9,1,3,1,-1.0,1,0,0,0.4350420395985896,0,0,0,0,1
11,0,0,64,1,0,6,0,0,13,1.0,6,0,3,-1,13,1,-1.0,1,1,0,0.4350420395985896,0,0,0,0,1
12,0,0,21,-1,0,9,0,0,1,1.0,9,1,9,1,1,1,-1.0,3,1,0,0.4350420395985896,0,0,0,0,1
13,0,5,32,0,0,3,0,0,0,1.0,3,-1,4,-1,0,0,-1.0,1,0,6,0.4350420395985896,0,0,0,0,1
14,0,0,27,0,0,3,0,0,8,1.0,3,-1,3,-1,8,1,-1.0,17,1,0,0.4350420395985896,0,0,0,0,1
15,0,0,33,0,0,10,0,0,0,1.0,10,1,6,0,0,1,0.0,37,1,0,0.4350420395985896,0,0,0,0,1
16,0,2,30,0,0,9,0,0,9,0.0,9,1,10,1,9,1,0.0,44,1,2,0.4350420395985896,0,0,0,0,1
17,0,2,55,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,2,0,2,0.4350420395985896,0,0,0,0,1
18,1,2,33,0,0,5,0,0,4,1.0,5,0,2,-1,4,0,-1.0,11,1,3,0.4350420395985896,0,0,0,0,1
19,0,2,24,-1,0,2,0,0,1,0.0,2,-1,3,-1,1,0,0.0,1,1,2,0.4350420395985896,0,0,0,0,1
20,1,0,21,-1,0,8,0,0,2,1.0,8,1,8,1,2,1,-1.0,79,0,1,0.4350420395985896,0,0,0,0,1
21,0,2,25,0,0,10,0,0,9,1.0,10,1,9,1,9,0,-1.0,6,1,2,0.4350420395985896,0,0,0,0,1
22,0,0,29,0,0,4,0,0,0,1.0,4,-1,3,-1,0,1,0.0,0,0,0,0.4350420395985896,0,0,0,0,1
23,1,5,28,0,0,2,0,0,0,1.0,2,-1,2,-1,0,1,-1.0,0,0,7,0.4350420395985896,0,0,0,0,1
24,0,0,31,0,0,5,0,1,15,1.0,5,0,7,0,15,1,-1.0,135,0,0,0.4350420395985896,0,0,0,0,1
25,0,0,49,1,0,1,0,0,4,1.0,1,-1,1,-1,4,0,-1.0,0,0,0,0.4350420395985896,0,0,0,0,1
26,0,2,53,1,0,5,0,0,8,13.0,5,0,2,-1,8,1,-13.0,13,0,2,0.4350420395985896,0,0,0,0,1
27,0,2,38,0,0,2,0,0,4,1.0,2,-1,2,-1,4,0,-1.0,1,1,2,0.4350420395985896,0,0,0,0,1
28,0,0,22,-1,0,4,0,1,1,1.0,4,-1,6,0,1,1,-1.0,1,1,0,0.4350420395985896,0,0,0,0,1
29,0,0,29,0,0,9,0,0,4,1.0,9,1,5,0,4,1,-1.0,18,1,0,0.4350420395985896,0,0,0,0,1
30,0,0,27,0,0,6,1,0,6,0.0,6,0,3,-1,6,1,0.0,30,1,0,0.4350420395985896,0,0,0,0,1
31,0,5,33,0,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,1,0,6,0.4350420395985896,0,0,0,0,1
32,1,0,56,1,0,1,0,0,0,1.0,1,-1,1,-1,0,0,0.0,3,0,1,0.4350420395985896,0,0,0,0,1
33,0,3,22,-1,0,4,0,0,1,1.0,4,-1,6,0,1,1,-1.0,1,0,4,0.4350420395985896,0,0,0,0,1
34,0,0,39,0,0,4,0,0,1,1.0,4,-1,2,-1,1,0,-1.0,4,0,0,0.4350420395985896,0,0,0,0,1
35,0,0,29,0,0,6,0,0,5,0.0,6,0,3,-1,5,1,0.0,1,1,0,0.4350420395985896,0,0,0,0,1
36,0,2,27,0,0,6,0,1,1,1.0,6,0,3,-1,1,1,-1.0,14,1,2,0.4350420395985896,0,0,0,0,1
37,0,0,40,0,0,2,0,0,2,15.0,2,-1,1,-1,2,1,-15.0,3,0,0,0.4350420395985896,0,0,0,0,1
38,0,0,22,-1,0,3,0,0,1,1.0,3,-1,3,-1,1,0,0.0,16,1,0,0.4350420395985896,0,0,0,0,1
39,0,2,22,-1,0,8,0,0,0,1.0,8,1,6,0,0,1,-1.0,57,0,2,0.4350420395985896,0,0,0,0,1
40,0,0,32,0,0,2,0,0,0,1.0,2,-1,1,-1,0,1,-1.0,1,0,0,0.4350420395985896,0,0,0,0,1
41,0,0,41,0,0,2,0,0,1,5185.0,2,-1,2,-1,1,0,-1.0,1,0,0,0.4350420395985896,0,0,0,0,1
