sex,race,age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,decile_score.1,score_text,v_decile_score,v_score_text,priors_count.1,c_charge_degree,days_b_screening_arrest,length_of_stay,c_charge_desc_id,two_year_recid
0,5,69,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,0,1,0
0,0,34,0,0,3,0,0,0,1.0,3,-1,1,-1,0,1,-1.0,10,1,1
0,0,24,-1,0,4,0,1,4,1.0,4,-1,3,-1,4,1,-1.0,1,3,1
0,5,44,0,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,1,1,0
0,2,41,0,0,6,0,0,14,1.0,6,0,2,-1,14,1,-1.0,6,4,1
0,5,43,0,0,4,0,0,3,1.0,4,-1,3,-1,3,1,-1.0,0,4,0
1,2,39,0,0,1,0,0,0,1.0,1,-1,1,-1,0,0,-1.0,2,1,0
0,2,27,0,0,4,0,0,0,1.0,4,-1,4,-1,0,1,-1.0,1,3,0
0,0,23,-1,0,6,0,0,3,0.0,6,0,4,-1,3,0,0.0,4,1,1
1,2,37,0,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,0,1,0
0,0,41,0,0,4,0,0,0,1.0,4,-1,2,-1,0,1,-1.0,0,0,0
1,2,47,1,0,1,0,0,1,490.0,1,-1,1,-1,1,1,-20.0,14,4,1
0,0,31,0,0,3,0,0,7,71.0,3,-1,2,-1,7,1,22.0,3,4,1
0,3,37,0,0,1,0,0,0,0.0,1,-1,1,-1,0,0,0.0,0,1,0
0,0,25,0,0,10,0,0,3,1.0,10,1,9,1,3,1,-1.0,1,4,0
0,2,31,0,0,5,0,0,6,1.0,5,0,4,-1,6,1,-1.0,1,4,1
0,2,31,0,0,3,0,0,5,1.0,3,-1,2,-1,5,1,-1.0,1,3,1
0,0,64,1,0,6,0,0,13,1.0,6,0,3,-1,13,1,-1.0,1,4,1
0,0,21,-1,0,9,0,0,1,1.0,9,1,9,1,1,1,-1.0,3,1,1
0,2,27,0,0,2,0,0,0,0.0,2,-1,3,-1,0,0,0.0,0,3,1
1,2,21,-1,0,4,0,0,0,2.0,4,-1,5,0,0,1,-2.0,1,4,0
0,3,24,-1,0,4,0,0,1,1.0,4,-1,5,0,1,1,0.0,0,2,1
0,2,43,0,0,1,0,0,1,1.0,1,-1,2,-1,1,0,-1.0,1,4,0
0,5,32,0,0,3,0,0,0,1.0,3,-1,4,-1,0,0,-1.0,1,1,0
0,0,27,0,0,3,0,0,8,1.0,3,-1,3,-1,8,1,-1.0,17,1,1
0,0,26,0,0,7,0,1,5,1.0,7,0,7,0,5,1,-1.0,0,3,1
0,0,33,0,0,10,0,0,0,1.0,10,1,6,0,0,1,0.0,37,4,1
0,2,30,0,0,9,0,0,9,0.0,9,1,10,1,9,1,0.0,44,1,1
0,0,32,0,0,8,0,0,4,1.0,8,1,3,-1,4,1,-1.0,1,4,1
0,2,55,1,0,1,0,0,0,1.0,1,-1,1,-1,0,1,-1.0,2,4,0
