id,race,sex,score,true_label,predicted_label,true-pred,score-adv
5627,0,0,-0.078766853,1,0,1,0.797015131
9220,1,0,-4.362605095,0,0,0,3.595778942
2655,0,0,-2.966223478,0,0,0,2.73707962
9081,1,0,-2.036340952,0,0,0,2.131947517
644,0,0,1.05388236,1,1,0,0.005189348
93,0,0,-2.398831129,1,0,1,2.370622158
9224,1,0,-4.545767307,0,0,0,3.703353882
5754,0,0,-0.879170895,1,0,1,1.350439191
3290,0,0,-3.529477358,0,0,0,3.091301203
6760,0,0,-1.454401135,0,0,0,1.742274761
10194,0,0,1.156451106,1,1,0,-0.066646904
3785,1,0,-2.651428699,0,0,0,2.534891844
2817,1,0,-0.370655328,0,0,0,0.999723554
379,0,1,-4.773439407,0,0,0,3.835320234
569,0,1,-3.480565071,0,0,0,3.060943842
8196,1,0,-2.610727549,1,0,1,2.508542061
10680,0,0,-0.820556819,1,0,1,1.310198665
8452,1,0,-3.37591815,0,0,0,2.995732307
9552,0,0,-1.469712734,1,0,1,1.752620697
849,0,0,-3.727486849,1,0,1,3.213380814
5654,0,0,-3.292360067,0,0,0,2.943407774
2539,0,1,-2.065343142,1,0,1,2.15116477
10379,0,0,0.232074276,1,0,1,0.580316007
6304,0,0,1.566529751,1,1,0,-0.35356909
9125,1,0,-4.772081852,1,0,1,3.834539175
6525,1,0,-5.034287453,1,0,1,3.984084845
7472,1,0,-5.393490791,0,0,0,4.18460083
3218,1,0,-3.410623312,0,0,0,3.017398357
5137,0,1,-4.750397205,1,0,1,3.822053432
4409,1,0,2.475520849,1,1,0,-0.985487044
6149,0,0,-1.727778316,1,0,1,1.926262975
6129,0,0,-4.284132957,0,0,0,3.54931283
6236,1,0,-4.515304565,0,0,0,3.685548782
8774,1,0,-3.471180439,0,0,0,3.055110216
7508,0,0,-4.686929703,0,0,0,3.78540659
3250,1,0,-5.016552925,0,0,0,3.97405386
5691,1,0,-3.446617365,0,0,0,3.039828062
3287,0,0,0.044709351,1,0,1,0.711023808
654,1,0,-4.592683792,0,0,0,3.730708122
853,0,0,-4.437758923,0,0,0,3.640068769
3502,0,0,-4.493853569,1,0,1,3.672990084
691,0,0,-2.372739792,1,0,1,2.353555918
4205,1,1,-4.292116165,1,0,1,3.554050446
5960,1,0,-5.170900822,0,0,0,4.06094408
10168,1,0,-4.932884693,0,0,0,3.92656517
5219,1,1,-3.190270424,1,0,1,2.879177332
2467,0,0,-1.872119308,0,0,0,2.022753
6160,0,0,0.11368829,1,0,1,0.662932396
3671,1,0,-4.588642597,0,0,0,3.728354931
1849,0,0,-1.461394429,1,0,1,1.747000456
6968,0,0,-0.230041221,1,0,1,0.902179003
6593,0,0,-5.201900482,0,0,0,4.078282356
4081,1,0,-3.63030076,0,0,0,3.15362668
6591,0,1,-5.501573563,0,0,0,4.243933201
668,0,0,-2.608662367,1,0,1,2.507204056
1864,0,0,-4.292710304,0,0,0,3.554402828
7189,1,0,-2.150964499,1,0,1,2.207778454
7192,1,1,-5.530639172,0,0,0,4.259810925
2835,1,0,-0.151102647,1,0,1,0.847329259
7661,1,1,3.326671124,1,1,0,-1.567551017
7595,0,1,-5.406829834,0,0,0,4.191948891
7218,0,0,-3.457550526,0,0,0,3.046632767
9527,0,0,-3.90506053,0,0,0,3.321727037
2400,0,0,1.001027584,0,1,-1,0.042211734
4500,0,0,-0.234889343,0,0,0,0.905545592
2383,1,0,-4.490853786,0,0,0,3.671232462
2927,0,0,-1.726762652,1,0,1,1.92558229
10237,1,0,0.817434847,1,1,0,0.170811921
5617,1,0,-5.13422966,0,0,0,4.040384293
6259,1,0,-4.960965157,0,0,0,3.942533255
6285,1,1,-4.446424007,1,0,1,3.64516139
9626,0,0,0.309480011,1,1,0,0.526249766
41,1,0,1.461645603,1,1,0,-0.280246496
7060,0,1,-0.285678118,0,0,0,0.940799892
2290,0,0,-4.161993027,1,0,1,3.476544142
2582,1,0,-4.046146393,0,0,0,3.407029152
8237,0,0,-4.524825096,0,0,0,3.691117048
8681,0,0,2.20664978,1,1,0,-0.799414635
6081,1,1,-3.301074743,0,0,0,2.948875189
9087,1,0,-4.999925613,1,0,1,3.964638472
7765,0,0,-1.042981744,1,0,1,1.462612867
5797,0,0,-1.634690642,0,0,0,1.863790393
8231,0,0,-3.468837738,0,0,0,3.053653479
9972,0,0,-3.267163992,0,0,0,2.927586079
2062,0,0,-4.569415092,0,0,0,3.717151403
1770,0,0,-3.15619421,1,0,1,2.857664347
5153,0,0,3.446054459,1,1,0,-1.648154974
10499,1,1,-0.336211979,1,0,1,0.975849926
9247,0,0,-2.392235041,1,0,1,2.366309881
4809,1,1,-1.396420479,1,0,1,1.703055382
3673,1,0,-4.571216583,0,0,0,3.718201876
3917,0,0,-2.931891203,0,0,0,2.715169907
8503,0,0,-3.905616522,0,0,0,3.322064877
2502,0,0,-5.10253191,0,0,0,4.02257061
6019,1,0,-3.163509607,1,0,1,2.862285852
2183,0,0,-4.744193077,0,0,0,3.818477631
5576,1,0,1.534498334,1,1,0,-0.331182361
8207,1,0,-3.641100168,1,0,1,3.160282373
6391,0,0,0.238772258,1,0,1,0.575639069
3693,0,0,-3.479725122,0,0,0,3.060421944
3611,1,0,-2.09084487,0,0,0,2.168045521
1819,1,0,-0.326948911,0,0,0,0.969427168
1153,1,1,-1.018679738,1,0,1,1.445999146
1538,1,0,-3.344926596,0,0,0,2.976351023
5789,0,1,-5.411828518,0,0,0,4.194700241
4317,0,0,-2.173420668,0,0,0,2.222596169
9248,0,0,2.240889788,0,1,-1,-0.823157489
